factor	Group		
nope	RS26_ORYSJ		
nope	SIPL1_ORYSJ		
nope	PGTB2_HUMAN		
nope	DRL24_ARATH		
nope	PNSB5_ARATH		
nope	NFYB3_ORYSJ		
nope	DAF31_CAEEL		
nope	EXLA1_ORYSJ		
nope	STP1_ARATH		
nope	HD3A_ORYSJ		
nope	PP129_ARATH		
nope	F8H_ARATH		
nope	C71A4_SOLME		
nope	RNF10_RAT		
nope	AP5Z1_HUMAN		
nope	LRRC7_BOVIN		
nope	LCAT1_ARATH		
nope	HMT2_MAIZE		
nope	FB345_ARATH		
nope	HARB1_RAT		
nope	CONS_ARATH		
nope	GL37_ORYSJ		
nope	Y5830_ARATH		
nope	GTE3_ARATH		
nope	RAH1B_ARATH		
nope	EIF2A_SCHPO		
nope	ALDO1_MAIZE		
nope	WDR3_HUMAN		
nope	PER12_ARATH		
nope	CML30_ARATH		
nope	TTC38_XENLA		
nope	NOP16_COCIM		
nope	PP445_ARATH		
nope	EIF2A_HUMAN		
nope	CCR4D_ARATH		
nope	AAP6_ARATH		
nope	PP1R7_HUMAN		
nope	P2C09_ORYSJ		
nope	GET4_BOVIN		
nope	UBIQ_COPCO		
nope	SNUT2_HUMAN		
nope	PTR19_ARATH		
nope	2AB2A_ARATH		
nope	AMYB_WHEAT		
nope	TLP10_ORYSJ		
nope	SYP51_ARATH		
nope	WTR24_ARATH		
nope	MRS2D_ORYSJ		
nope	CIPKR_ORYSJ		
nope	AB42G_ORYSJ		
nope	ARL5A_HUMAN		
nope	MVD2_ARATH		
nope	DER_NOSS1		
nope	TM147_XENLA		
nope	ACA9_ARATH		
nope	SYNC1_ARATH		
nope	ESRP1_MOUSE		
nope	UGT2_GARJA		
nope	YC0H_SCHPO		
nope	PRXQ_WHEAT		
nope	GAG_EIAVY		
nope	ALGC_PSEPK		
nope	AYR1_SCHPO		
nope	AKR3_ORYSI		
nope	HERC1_HUMAN		
nope	TGD1_ARATH		
nope	PRMA_BURL3		
nope	RGP2_ORYSJ		
nope	VPE1_PHAVU		
nope	CFDP1_CHICK		
nope	WRK70_ARATH		
nope	GCS1_ARATH		
nope	SUVR1_ARATH		
nope	ACPH_HUMAN		
nope	Y5694_ARATH		
nope	ATK5_ARATH		
nope	ECE2_HUMAN		
nope	XERIC_ARATH		
nope	CNIH4_ARATH		
nope	RADL2_ARATH		
nope	PUR2_VIGUN		
nope	DRL3_ARATH		
nope	RBP17_MOUSE		
nope	LUT5_ARATH		
nope	U91A1_ARATH		
nope	MUTS2_HALOH		
nope	GCFC2_HUMAN		
nope	MNR1_CAPAN		
nope	POLLU_ORYSJ		
nope	AMYB_VIGUN		
nope	LHTL8_ARATH		
nope	HS16A_ORYSJ		
nope	MLOH1_ORYSI		
nope	DUSA_VIBVU		
nope	IAA10_ORYSI		
nope	RP6L3_ARATH		
nope	TBB8_MAIZE		
nope	FBL34_ARATH		
nope	GYP7_YEAST		
nope	ARAE1_ORYSJ		
nope	INVA_ARATH		
nope	CDPKW_ARATH		
nope	EI24_ARATH		
nope	PHSH_WHEAT		
nope	FDM5_ARATH		
nope	DNJB5_BOVIN		
nope	TF3C3_HUMAN		
nope	RIA1_SCHPO		
nope	DDI1_CRYNJ		
nope	ISPT_THET8		
nope	RS252_ARATH		
nope	TARB1_HUMAN		
nope	TRE_ORYSJ		
nope	CYNS_SORBI		
nope	SBT3H_ARATH		
nope	CNBL7_ORYSJ		
nope	ATAD5_MOUSE		
nope	RBCMT_TOBAC		
nope	WTR38_ARATH		
nope	RRP36_NEMVE		
nope	VP13A_SCHPO		
nope	GRPE_RHOPT		
nope	CP18A_ARATH		
nope	PPR27_ARATH		
nope	BRAP_MOUSE		
nope	BGL31_ORYSJ		
nope	BXL6_ARATH		
nope	NRP2_ORYSJ		
nope	C70B3_ARATH		
nope	MYBA2_ORYSJ		
nope	BIP2C_ORYSJ		
nope	CMKMT_XENLA		
nope	PPR41_ARATH		
nope	LUB1_SCHPO		
nope	ERF4_NICSY		
nope	ARF1_BRARP		
nope	DCL_SOLLC		
nope	HAK9_ORYSJ		
nope	TBCD5_HUMAN		
nope	C94C1_ARATH		
nope	PLA14_ARATH		
nope	GDL62_ARATH		
nope	BRCC3_XENTR		
nope	RS9_BARBK		
nope	PI5K9_ARATH		
nope	GSTU1_ORYSI		
nope	EML4_ARATH		
nope	CEMA_SORBI		
nope	AKT1_ORYSJ		
nope	MET10_DANRE		
nope	NUDT8_ARATH		
nope	MPU12_ARATH		
nope	HDHD3_MOUSE		
nope	Y1684_ARATH		
nope	VPE_VICSA		
nope	TRM10_SCHPO		
nope	SEC23_NEUCR		
nope	AGAL_ORYSJ		
nope	FZL_ARATH		
nope	BIM2_ARATH		
nope	RS4_ORYSJ		
nope	RR16_SORBI		
nope	TTL12_CAEBR		
nope	MYB38_MAIZE		
nope	QORH_SPIOL		
nope	AMPP1_TALMQ		
nope	DUS1_ARATH		
nope	CLPE_BACSU		
nope	PP382_ARATH		
nope	GUAA_BACC0		
nope	CYSEP_VIGMU		
nope	CI085_HUMAN		
nope	CLP1_ARATH		
nope	DIV_ANTMA		
nope	PP209_ARATH		
nope	CKS1_ORYSJ		
nope	AATPI_ARATH		
nope	APAF_MOUSE		
nope	HACD2_MOUSE		
nope	RL31_NICGU		
nope	PMK_ARATH		
nope	CYB5_TOBAC		
nope	MET13_BOVIN		
nope	HDA18_ARATH		
nope	RHD3_ORYSJ		
nope	GPH_PSEPU		
nope	KLC3_RAT		
nope	PGKY_TOBAC		
nope	VSP1_ARATH		
nope	CLPP3_ARATH		
nope	METC_ARATH		
nope	YETC_SCHPO		
nope	TM1L2_XENLA		
nope	C3H3_ORYSJ		
nope	ATX4_ARATH		
nope	YN93_YEAST		
nope	GATY_SHIFL		
nope	AB45G_ORYSJ		
nope	DGP2_ARATH		
nope	KAT3_RAT		
nope	UBP2_ARATH		
nope	GRP1_DAUCA		
nope	SECE1_ARATH		
nope	GLGS_MAIZE		
nope	RCA1_LARTR		
nope	ZN598_DANRE		
nope	Y1919_SYNY3		
nope	SYHC_ORYSJ		
nope	PP451_ARATH		
nope	RL71_ARATH		
nope	Y4919_ARATH		
nope	VPE1_ORYSJ		
nope	G3PC2_MAIZE		
nope	Y1385_MYCBO		
nope	PMTL_ARATH		
nope	CK1_ARATH		
nope	MEMO1_DICDI		
nope	CHLM_ARATH		
nope	FAP1_ARATH		
nope	UXS6_ARATH		
nope	RTNLP_ARATH		
nope	D6PK_ARATH		
nope	CAMK1_ARATH		
nope	UTP25_AJEDS		
nope	ACT7_TOBAC		
nope	MYO7_ARATH		
nope	COQ2_ARATH		
nope	RBR2_MAIZE		
nope	SYFB_ARATH		
nope	ALB33_ARATH		
nope	Y9953_RHOBA		
nope	CNOT3_MOUSE		
nope	ODO1_DICDI		
nope	CCB12_ORYSJ		
nope	SAR1A_BRACM		
nope	TOM3_ARATH		
nope	GABP2_BOVIN		
nope	HARB1_HUMAN		
nope	MURE_FUSNN		
nope	ZWIP3_ARATH		
nope	E138_ARATH		
nope	EMC10_XENLA		
nope	LCAT3_ARATH		
nope	AMSH2_ARATH		
nope	DNM1B_ORYSJ		
nope	CBP1_HORVU		
nope	REV3_ARATH		
nope	MNS4_ARATH		
nope	AB3C_ARATH		
nope	GAT20_ORYSJ		
nope	INLI_LISMO		
nope	SAPK6_ORYSJ		
nope	C7A29_PANGI		
nope	AB19G_ARATH		
nope	TOPRS_MOUSE		
nope	FB324_ARATH		
nope	RETO_ESCCA		
nope	TIF3_ORYSJ		
nope	PSUG_CALS4		
nope	NDUS7_BRAOL		
nope	SCP27_ARATH		
nope	STXB5_MOUSE		
nope	YSL13_ORYSJ		
nope	TRM7_CAEEL		
nope	TBL2_HUMAN		
nope	XTH8_ORYSJ		
nope	DNAJ_METTH		
nope	NOSIP_DROME		
nope	MPC1_ARATH		
nope	ST38L_HUMAN		
nope	NSE4A_ARATH		
nope	ORR1_ORYSJ		
nope	FUM2_ARATH		
nope	U5S1_BOVIN		
nope	SCL33_ARATH		
nope	GSHRP_PEA		
nope	LTI6A_ORYSJ		
nope	DRL4_ARATH		
nope	COP1_ARATH		
nope	C93A1_SOYBN		
nope	ATAD1_RAT		
nope	GEML5_ARATH		
nope	PGTA_PIG		
nope	DYL1_DROME		
nope	GFPT2_HUMAN		
nope	RH45_ORYSJ		
nope	DRB2_ORYSJ		
nope	GAPN_WHEAT		
nope	BIOF_ARATH		
nope	BOLA1_ARATH		
nope	ASCC2_HUMAN		
nope	ULA1_ARATH		
nope	PABN3_ARATH		
nope	MORF3_ARATH		
nope	RFC3_ORYSJ		
nope	PP402_ARATH		
nope	U72B1_ARATH		
nope	ERO1_ARATH		
nope	LCAT4_ARATH		
nope	BGL20_ORYSJ		
nope	D14_ARATH		
nope	ACD11_ARATH		
nope	DEGP7_ARATH		
nope	RUXG_ARATH		
nope	ATPF2_HUMAN		
nope	RIR2_TOBAC		
nope	WTR7_ARATH		
nope	PCP_MOUSE		
nope	GAM1_ORYSJ		
nope	ODPA3_ORYSJ		
nope	MGAT2_PIG		
nope	NRPC2_ARATH		
nope	ARAH_SHIFL		
nope	STIP1_CAEEL		
nope	PMTE_ARATH		
nope	TMN9_ARATH		
nope	SAU32_ARATH		
nope	RPN13_ARATH		
nope	Y1135_ARATH		
nope	COG7_HUMAN		
nope	GLPT5_ARATH		
nope	Y4276_ARATH		
nope	KDSA1_ARATH		
nope	PLSB_ARATH		
nope	FBT9_ARATH		
nope	LACS5_ARATH		
nope	PURU1_ARATH		
nope	BRTL1_ARATH		
nope	ZRAB3_BOVIN		
nope	CHIT2_TULBA		
nope	3MAT_DAHPI		
nope	ZERSY_ZINZE		
nope	VA711_ARATH		
nope	UBP21_ARATH		
nope	Y4331_ARATH		
nope	AGLU_ORYSJ		
nope	SODF1_ORYSJ		
nope	RLP2_ARATH		
nope	PP199_ARATH		
nope	EIF3F_ARATH		
nope	NSI_ORYSJ		
nope	DTX35_ARATH		
nope	AB25B_ARATH		
nope	SDH8A_ORYSJ		
nope	ACR21_ORYSJ		
nope	ENDUB_XENLA		
nope	XYLA_HORVU		
nope	FBX8_ARATH		
nope	CML7_ORYSJ		
nope	TAP46_ARATH		
nope	OPR11_ORYSJ		
nope	Y3307_ARATH		
nope	F16P2_MUSAC		
nope	FAX5_ARATH		
nope	MRT4_DICDI		
nope	RSSA_SOYBN		
nope	CG025_XENTR		
nope	WBC30_ARATH		
nope	AUG6_ARATH		
nope	STRUM_PONAB		
nope	TIM16_SCHPO		
nope	YWBO_BACSU		
nope	YIPF5_DICDI		
nope	WAK5_ARATH		
nope	RK3_TOBAC		
nope	TOC64_PEA		
nope	CZOG_SORBI		
nope	RH17_ORYSJ		
nope	YIW4_SCHPO		
nope	QCR71_ARATH		
nope	PSB3_ORYSJ		
nope	ABIL4_ORYSJ		
nope	TNPO1_ORYSI		
nope	GACP3_ARATH		
nope	CXE3_ARATH		
nope	BIM1_ARATH		
nope	ROC2_NICSY		
nope	IPK_THEAC		
nope	PNS1_DEBHA		
nope	MVD1_ARATH		
nope	SCYL2_MOUSE		
nope	Y5374_ARATH		
nope	RIOK2_MOUSE		
nope	IST1_PONAB		
nope	P2C33_ORYSJ		
nope	TCPE2_AVESA		
nope	PP134_ARATH		
nope	SDHFA_DICDI		
nope	C71D8_SOYBN		
nope	SC61B_ARATH		
nope	DFRA_VITVI		
nope	COX5C_HORVU		
nope	MNMG_SYNY3		
nope	CCR4C_ARATH		
nope	SDI1_ARATH		
nope	ARASP_ARATH		
nope	IMPA1_ARATH		
nope	OEP37_ARATH		
nope	P4KG6_ARATH		
nope	PSS2_ORYSJ		
nope	TPS6_MAIZE		
nope	ILL6_ORYSJ		
nope	PEAM1_ARATH		
nope	VAP22_ARATH		
nope	WRK20_ARATH		
nope	NRAM3_ORYSJ		
nope	YJIA_ECOLI		
nope	CER2_ARATH		
nope	RS92_ARATH		
nope	HIBC4_ARATH		
nope	FKB13_ARATH		
nope	IF2G_SCHPO		
nope	HMDH_MAIZE		
nope	DCUP2_ORYSJ		
nope	ARSA_METTH		
nope	PSAI_WHEAT		
nope	ATPF1_HUMAN		
nope	LBD38_ARATH		
nope	ICS2_ARATH		
nope	TBL27_ARATH		
nope	APO2_ARATH		
nope	ACR22_ORYSJ		
nope	FUT1_ARATH		
nope	TTC5_HUMAN		
nope	MRNC_SYNY3		
nope	UFD1_HUMAN		
nope	PABN2_ARATH		
nope	YORF_SCHPO		
nope	QCR72_ARATH		
nope	ASTER_ARATH		
nope	AGAL1_ARATH		
nope	PEK11_ARATH		
nope	RL28_MAGMM		
nope	SCE1_ARATH		
nope	CSPLK_ORYSJ		
nope	YNW5_SCHPO		
nope	TBCC_ARATH		
nope	EMC10_MOUSE		
nope	LACB2_XENTR		
nope	NEMF_HUMAN		
nope	CDC27_HUMAN		
nope	MICU1_DANRE		
nope	NHLC2_MOUSE		
nope	TBL38_ARATH		
nope	RDH13_MOUSE		
nope	MPP10_YEAST		
nope	EBSL_ARATH		
nope	TRPA1_ARATH		
nope	Y3857_ARATH		
nope	PY2CR_COLP3		
nope	Y1501_ARATH		
nope	UBC5A_ORYSJ		
nope	MBF1B_ARATH		
nope	DET1_SOLLC		
nope	BEBT_CLABR		
nope	PSL4_ARATH		
nope	OMT3_DICDI		
nope	Y2452_ARATH		
nope	AB1B_ARATH		
nope	PP120_ARATH		
nope	RH7_ORYSJ		
nope	WLIM1_ARATH		
nope	CIPK1_ORYSJ		
nope	GUAA_LACRJ		
nope	FIGL1_RAT		
nope	COXM2_DANRE		
nope	LIP_BACSP		
nope	TGA7_ARATH		
nope	RBS2_ORYSJ		
nope	RPS5_ARATH		
nope	SGGP_ARATH		
nope	SYT1_ARATH		
nope	ACLB1_ORYSJ		
nope	PHYK2_ORYSJ		
nope	SHT_ARATH		
nope	TMN8_ARATH		
nope	CRTI_SYNY3		
nope	Y5005_ARATH		
nope	GACY_DICDI		
nope	GLT3_CROSA		
nope	CNO10_BOVIN		
nope	TYW5_HUMAN		
nope	COG6_HUMAN		
nope	TRN1_DATST		
nope	G3P_BRUMA		
nope	UBC2_ARATH		
nope	AKR2_ORYSJ		
nope	SKIP5_ARATH		
nope	C71AP_ARATH		
nope	DENR_DICDI		
nope	RX24L_ARATH		
nope	VA0E1_ARATH		
nope	PDC2_ORYSI		
nope	6DCS_SOYBN		
nope	RK21_ARATH		
nope	ZIP2_ORYSJ		
nope	TBCC1_CHICK		
nope	THIC_ARATH		
nope	YQXC_BACSU		
nope	GCR2_ARATH		
nope	UPS1_ARATH		
nope	HGH1_MOUSE		
nope	MYBB_XENLA		
nope	Y3028_ARATH		
nope	WRK11_ARATH		
nope	PP2B1_ARATH		
nope	AB35G_ORYSJ		
nope	U74F1_ARATH		
nope	WRK16_ARATH		
nope	TRXF_ORYSJ		
nope	SUGP1_ARATH		
nope	SPCS1_ARATH		
nope	DJC14_BOVIN		
nope	RNBP6_HUMAN		
nope	SODF2_ORYSJ		
nope	APC2_ARATH		
nope	SC5D_TOBAC		
nope	GOS9_ORYSJ		
nope	PT317_ARATH		
nope	LST2_DANRE		
nope	SUIS_RABIT		
nope	REXO4_XENLA		
nope	TSGD1_ZINOF		
nope	SRR1_ARATH		
nope	PLD3_XENLA		
nope	GL52_ORYSJ		
nope	SGR_ORYSJ		
nope	FER2_SYNP6		
nope	YC49L_SYNY3		
nope	ETHE1_ARATH		
nope	CDC23_ARATH		
nope	NIP7_DANRE		
nope	TCX2_ARATH		
nope	YB83_SCHPO		
nope	SNX2A_ARATH		
nope	HVA22_HORVU		
nope	EBM_ARATH		
nope	GCSP_PEA		
nope	SNX16_HUMAN		
nope	G3OX_PEA		
nope	LMD2A_DICDI		
nope	TAL_HISS2		
nope	ISOA1_ARATH		
nope	EPN1_ARATH		
nope	DRG2_ARATH		
nope	Y5519_ARATH		
nope	MED18_ARATH		
nope	6PGL1_ORYSJ		
nope	VP26A_ARATH		
nope	FGGY_HUMAN		
nope	PPA21_ARATH		
nope	TMN2_ARATH		
nope	SSRB_MOUSE		
nope	TBB2_WHEAT		
nope	RAN3_ARATH		
nope	GPT11_DANRE		
nope	CYNS_MAIZE		
nope	PSA4A_ORYSJ		
nope	CSPLG_SORBI		
nope	PFKA1_ARATH		
nope	YCX1_CALFG		
nope	GCH1_SOLLC		
nope	IDN2_ARATH		
nope	MPK13_ORYSJ		
nope	AP2L4_ARATH		
nope	CIPKI_ORYSJ		
nope	DAPF_ORYSI		
nope	SCKL1_ARATH		
nope	TPP6_ORYSJ		
nope	CAMT2_DICDI		
nope	ZCD_CROSA		
nope	CUT1C_ARATH		
nope	PILR3_ARATH		
nope	RPC5_SCHPO		
nope	RPF1_XENLA		
nope	DNJC7_PONAB		
nope	DPO1_SYNY3		
nope	SNP33_ARATH		
nope	ZCIS_MAIZE		
nope	HAK16_ORYSJ		
nope	APO1_ARATH		
nope	MCS1B_XENLA		
nope	GAUTA_ARATH		
nope	DAD1_ORYSJ		
nope	S61A1_RAT		
nope	BUB1_ARATH		
nope	DNLZ_XENLA		
nope	PUS10_XENLA		
nope	TPPII_ORYSJ		
nope	RLMN_NITMS		
nope	VPS41_ARATH		
nope	FB17_ARATH		
nope	H4_SOYBN		
nope	VIP1_BOVIN		
nope	BAHL2_ORYSI		
nope	AOX1A_ARATH		
nope	RUB1_DESAN		
nope	NLRC3_HUMAN		
nope	DPP2_RAT		
nope	AMY_STRVL		
nope	TYDP2_RAT		
nope	CHR27_ARATH		
nope	DPNP_ORYSJ		
nope	BRWD3_HUMAN		
nope	IDH3_ARATH		
nope	BGAL_VIBC3		
nope	PWD_ORYSJ		
nope	DTD1_MOUSE		
nope	MPPA_SOLTU		
nope	XPO7A_XENLA		
nope	ACOT9_HUMAN		
nope	AGT21_ARATH		
nope	ENOX_SOLLC		
nope	GBP5_HUMAN		
nope	RIMM_SYNPX		
nope	NIP31_MAIZE		
nope	CYC6_ARATH		
nope	C78A5_ARATH		
nope	NAA20_DICDI		
nope	CPSF1_ORYSJ		
nope	COL3_ARATH		
nope	VATE_CITLI		
nope	WDTC1_MOUSE		
nope	SYKM_ARATH		
nope	MSH3_ARATH		
nope	BISS_ZINOF		
nope	GLR33_ARATH		
nope	ATPZ_NOSS1		
nope	RS40_ARATH		
nope	PCP_ESCF3		
nope	CDPKU_ARATH		
nope	RAGP2_ARATH		
nope	SCR_MAIZE		
nope	GLPT2_ARATH		
nope	CRK9_ARATH		
nope	AATP5_ARATH		
nope	AVT1_YEAST		
nope	BH137_ARATH		
nope	GAE1_ARATH		
nope	GLO5_ORYSJ		
nope	DIOX1_PAPSO		
nope	KEULE_ARATH		
nope	DCYD2_ORYSJ		
nope	MDAR1_ARATH		
nope	TMM8B_MOUSE		
nope	ELMOA_DICDI		
nope	Y5586_ARATH		
nope	TRUB_FLAJ1		
nope	GGP1_ARATH		
nope	CDPK_SOYBN		
nope	MMT1_HORVU		
nope	UGDH4_ORYSJ		
nope	PGKH_TOBAC		
nope	INSH5_ECOLI		
nope	DAPC_MYCTU		
nope	EF1A_MAIZE		
nope	YTFP_BACSU		
nope	ADK2_ARATH		
nope	HSP7H_ARATH		
nope	SETD3_CANLF		
nope	TBB4_WHEAT		
nope	LST2_DROMO		
nope	CSLG2_ARATH		
nope	GSTU6_ORYSJ		
nope	LRC63_MOUSE		
nope	NOD2_HYLLA		
nope	SGSM1_HUMAN		
nope	P2C44_ORYSJ		
nope	ODO1_XENLA		
nope	HCS1_ARATH		
nope	HEM6_ORYSJ		
nope	CCMH_ORYSI		
nope	WAK3_ARATH		
nope	TRPD_ARATH		
nope	LST8_YEAST		
nope	WDR26_HUMAN		
nope	PARG1_ARATH		
nope	GSHB_SOLLC		
nope	RECA3_ARATH		
nope	DGDG2_SOYBN		
nope	VP282_ARATH		
nope	KYNB_ERYLH		
nope	YJCL_BACSU		
nope	UBA5_ORYSJ		
nope	GID8_NEMVE		
nope	GT15_ORYSJ		
nope	ADHL4_ARATH		
nope	PCF7_ORYSJ		
nope	LRK41_ARATH		
nope	NIP1_ARATH		
nope	TSR2_YEAST		
nope	REMO_SOLTU		
nope	HIBC2_ARATH		
nope	Y1934_ORYSJ		
nope	PR1_ASPOF		
nope	DNAJ_ZYMMO		
nope	PHYA_SORBI		
nope	RSLE3_ORYSJ		
nope	PLST3_ARATH		
nope	ZGPAT_DROVI		
nope	BAZ1B_DANRE		
nope	SYCC2_ARATH		
nope	RAN1_ORYSJ		
nope	CDC21_ARATH		
nope	MFP1_SOLLC		
nope	RBOHB_SOLTU		
nope	P2C28_ORYSJ		
nope	SNL2_ARATH		
nope	ABHDB_XENLA		
nope	NIP21_MAIZE		
nope	UAP2_SCHPO		
nope	RH53_ORYSJ		
nope	HTSF1_MOUSE		
nope	ALB3_MAIZE		
nope	APS1_ARATH		
nope	DI191_ORYSJ		
nope	TPPC8_HUMAN		
nope	B561C_ARATH		
nope	IDD6_ARATH		
nope	LTN1_ARATH		
nope	YCF3_WHEAT		
nope	PEX16_ARATH		
nope	AROA2_TOBAC		
nope	PGKY_WHEAT		
nope	DFRA_MEDSA		
nope	RCD1_ARATH		
nope	TIC32_PEA		
nope	Y2559_ARATH		
nope	AMSH3_ARATH		
nope	MUD1_SCHPO		
nope	CT024_MOUSE		
nope	Y1178_ARATH		
nope	MPK15_ORYSJ		
nope	PTR26_ARATH		
nope	CLPP2_ARATH		
nope	FMP32_YEAST		
nope	MAX2_ORYSJ		
nope	CDS2_ARATH		
nope	GLO1_ORYSJ		
nope	F3PH_PETHY		
nope	NUG2_ORYSI		
nope	RPE5C_ARATH		
nope	SRPK1_PONAB		
nope	GUAD_BACSU		
nope	FAO1_LOTJA		
nope	G6PD6_ARATH		
nope	IF2_MAGMM		
nope	GGP5_ARATH		
nope	VPS18_DANRE		
nope	BABL_CUCSA		
nope	TMVRN_NICGU		
nope	DTX7_ARATH		
nope	FABH_SPIOL		
nope	SDA1_HUMAN		
nope	DEXHC_ARATH		
nope	RS15A_DAUCA		
nope	TAF9_ARATH		
nope	P2C66_ORYSJ		
nope	RL1D1_PONAB		
nope	DNJC8_RAT		
nope	LEA5D_GOSHI		
nope	TPRKB_HUMAN		
nope	DTX46_ARATH		
nope	NRPD2_ARATH		
nope	Y1661_ARATH		
nope	CFI3_ARATH		
nope	IMP3_MOUSE		
nope	SOX_ARATH		
nope	KAT1_ORYSJ		
nope	E1314_ARATH		
nope	YMZ2_YEAST		
nope	UAP1L_XENTR		
nope	YGBJ_ECOLI		
nope	TBL25_ARATH		
nope	MET16_XENLA		
nope	RL18_NITMU		
nope	NDB2_ARATH		
nope	INSD9_ECOLI		
nope	CLPS1_ARATH		
nope	FUT11_ARATH		
nope	TPC12_MOUSE		
nope	TRM13_KLULA		
nope	RTNLS_ARATH		
nope	RSZ21_ORYSJ		
nope	YLPM1_HUMAN		
nope	ORML1_XENLA		
nope	Y3174_ARATH		
nope	PGMC1_MAIZE		
nope	SD22_ARATH		
nope	AGD8_ARATH		
nope	MET13_XENLA		
nope	NNT1_CRYNJ		
nope	COV1_ARATH		
nope	RHMA_SHIDS		
nope	P2C32_ORYSJ		
nope	CNO10_HUMAN		
nope	CID9_ARATH		
nope	FBK46_ARATH		
nope	ACP3_HORVU		
nope	NIPLA_DANRE		
nope	FK151_ARATH		
nope	PMP22_ARATH		
nope	PUB43_ARATH		
nope	NADA_ORYSJ		
nope	TAF6_ARATH		
nope	MEM11_ARATH		
nope	PRX2C_ORYSJ		
nope	APC3_DICDI		
nope	DOD1W_BETVU		
nope	WDR44_BOVIN		
nope	RS13_MAIZE		
nope	NRL4A_LUPAN		
nope	KRP1_ORYSI		
nope	ETFA_ORYSJ		
nope	SSRA_ARATH		
nope	BRE_DANRE		
nope	PP354_ARATH		
nope	CKX11_ORYSJ		
nope	PNS1_GIBZE		
nope	WDR36_HUMAN		
nope	DTX23_ARATH		
nope	SPOP_XENTR		
nope	MT3B_ORYSJ		
nope	PETD_SACOF		
nope	NOP5B_ARATH		
nope	Y5344_ARATH		
nope	PP285_ARATH		
nope	ENG2_SCHPO		
nope	OLA1_ORYSI		
nope	NPRT2_ARATH		
nope	HSBP1_HUMAN		
nope	GDU3_ARATH		
nope	CRK30_ARATH		
nope	UAP1_CANAX		
nope	CMBL_MOUSE		
nope	METK1_ORYSJ		
nope	ERF60_ARATH		
nope	BASS1_ORYSJ		
nope	EZ3_MAIZE		
nope	GCSP1_ARATH		
nope	MCS1A_XENLA		
nope	NCA2_DICDI		
nope	RBBP6_MOUSE		
nope	BAK1_ARATH		
nope	DCN1L_DROME		
nope	Y637_CHLL7		
nope	RS8_MAIZE		
nope	PMGI_MAIZE		
nope	Y1457_ARATH		
nope	MET23_XENLA		
nope	BGAL2_ORYSJ		
nope	FDFT_NICBE		
nope	SSG1B_HORVU		
nope	BP73_ORYSJ		
nope	AAP7_ARATH		
nope	HISX_ORYSJ		
nope	PHS_SACD2		
nope	GLNA3_MAIZE		
nope	FXL16_MOUSE		
nope	NSUN2_CHICK		
nope	RGP1_BOVIN		
nope	PCS1_WHEAT		
nope	ZDHC7_ARATH		
nope	VSR7_ARATH		
nope	DXS_CAPAN		
nope	RRA2_ARATH		
nope	WRKY1_MAIZE		
nope	SPG21_RAT		
nope	TBL37_ARATH		
nope	MCA4_ARATH		
nope	ISY1_RAT		
nope	GGAP2_ARATH		
nope	ACOT8_RAT		
nope	RS142_MAIZE		
nope	UCPB_DICDI		
nope	AB8I_ARATH		
nope	ERA_CLOK5		
nope	RLUD_VIBVU		
nope	SPD1_ORYSJ		
nope	AMO2_ARTS1		
nope	PP329_ARATH		
nope	BBP_DICDI		
nope	HA22A_ARATH		
nope	RR2_AGRST		
nope	IMK2_ARATH		
nope	HMGYA_MAIZE		
nope	RH40_ARATH		
nope	Y1010_HAEIN		
nope	PRP22_ARATH		
nope	ATG12_MEDTR		
nope	Y3544_ARATH		
nope	YTAP_BACSU		
nope	CCT11_ORYSJ		
nope	NDK1_ORYSJ		
nope	MRD1_DICDI		
nope	CAN1_ORYSJ		
nope	INDA1_SOLTU		
nope	P4H7_ARATH		
nope	UFOG1_MAIZE		
nope	MNMA_BORT9		
nope	COPE1_ORYSJ		
nope	HMOX1_ORYSJ		
nope	NHAD_VIBPH		
nope	MFP1_ARATH		
nope	CML27_ORYSJ		
nope	VP13D_HUMAN		
nope	KIN10_ARATH		
nope	DCAF8_XENTR		
nope	CYP23_ARATH		
nope	SLX12_TRYCC		
nope	INSG_ECOLI		
nope	BH049_ARATH		
nope	HMA6_ARATH		
nope	GDAP2_DROME		
nope	XAF1_HUMAN		
nope	TAF3_XENLA		
nope	S14L3_RAT		
nope	XPP3_RAT		
nope	DCAF4_BOVIN		
nope	HMOX2_ORYSJ		
nope	OXSR1_PIG		
nope	NSL1_ARATH		
nope	ZNRF3_XENLA		
nope	ODBA1_ARATH		
nope	TC120_ARATH		
nope	FH1_ORYSJ		
nope	RH2_ORYSJ		
nope	C7254_GLYUR		
nope	IDD4_ARATH		
nope	BI1_ORYSJ		
nope	ZDHC6_ARATH		
nope	PIS2_ARATH		
nope	RBS2_WHEAT		
nope	NAA16_MOUSE		
nope	R1B16_SOLDE		
nope	BYST_MONBE		
nope	GAO1D_WHEAT		
nope	CX6B3_ARATH		
nope	MNS2_ARATH		
nope	CDP1_ARATH		
nope	UPS5_ARATH		
nope	AEE21_ARATH		
nope	OPT4_ARATH		
nope	Y1540_ARATH		
nope	SBNO1_CHICK		
nope	ICT1_SALSA		
nope	NIFU1_ARATH		
nope	DNJC2_BOVIN		
nope	DAPB3_PSEMX		
nope	NAA25_DROPS		
nope	BMS1_SCHPO		
nope	TRXH5_ARATH		
nope	SQD1_ARATH		
nope	BBX19_ARATH		
nope	CCAMK_ORYSJ		
nope	FB135_ARATH		
nope	SDR2B_ARATH		
